# DCGM field, Prometheus type, help text
DCGM_FI_DRIVER_VERSION, label, NVIDIA driver version.
DCGM_FI_DEV_MIG_MODE, gauge, MIG mode for the GPU where 0 is disabled and 1 is enabled.
DCGM_FI_DEV_GPU_UTIL, gauge, GPU utilization in percent.
DCGM_FI_DEV_MEM_COPY_UTIL, gauge, Memory-copy utilization in percent.
DCGM_FI_DEV_FB_FREE, gauge, Framebuffer memory free in MiB.
DCGM_FI_DEV_FB_USED, gauge, Framebuffer memory used in MiB.
DCGM_FI_DEV_FB_RESERVED, gauge, Framebuffer memory reserved in MiB.
DCGM_FI_DEV_GPU_TEMP, gauge, GPU temperature in Celsius.
DCGM_FI_DEV_MEMORY_TEMP, gauge, GPU memory temperature in Celsius.
DCGM_FI_DEV_POWER_USAGE, gauge, GPU power draw in watts.
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION, counter, Total energy consumption since boot in millijoules.
DCGM_FI_DEV_ECC_SBE_VOL_TOTAL, counter, Total volatile single-bit ECC errors.
DCGM_FI_DEV_ECC_DBE_VOL_TOTAL, counter, Total volatile double-bit ECC errors.
DCGM_FI_DEV_ECC_SBE_AGG_TOTAL, counter, Total aggregate single-bit ECC errors.
DCGM_FI_DEV_ECC_DBE_AGG_TOTAL, counter, Total aggregate double-bit ECC errors.
DCGM_FI_DEV_PCIE_REPLAY_COUNTER, counter, Total PCIe replay events.
DCGM_FI_PROF_PCIE_TX_BYTES, gauge, PCIe transmit rate in bytes per second.
DCGM_FI_PROF_PCIE_RX_BYTES, gauge, PCIe receive rate in bytes per second.
DCGM_FI_DEV_XID_ERRORS, gauge, Last NVIDIA XID error code.
DCGM_FI_DEV_SM_CLOCK, gauge, Streaming multiprocessor clock in MHz.
DCGM_FI_DEV_MEM_CLOCK, gauge, Memory clock in MHz.
DCGM_FI_PROF_GR_ENGINE_ACTIVE, gauge, Fraction of time the graphics engine is active.
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE, gauge, Fraction of cycles the tensor pipe is active.
DCGM_FI_PROF_DRAM_ACTIVE, gauge, Fraction of cycles the device memory interface is active.
